# Point, time, Vf, Vu, Im, Ach, vsig, temp, Cycle, ie_range, overload, stop_test
0,0.1,0.00019911223,0.0,-4.0863797e-06,0.0,-8.761883e-06,2.8746,0,12,8191,0
1,0.2,0.010081438,0.0,4.3147215e-06,0.0,0.00999096,2.8746,0,11,8191,0
2,0.3,0.020063952,0.0,1.0465531e-05,0.0,0.019990623,2.8746,0,10,8191,0
3,0.4,0.030092264,0.0,1.5114699e-05,0.0,0.029990315,2.8746,0,9,8191,0
4,0.5,0.040085584,0.0,2.005708e-05,0.0,0.039990008,2.8746,0,8,8191,0
5,0.6,0.05009965,0.0,2.5062376e-05,0.0,0.0499897,2.8746,0,8,8191,0
6,0.7,0.0601029,0.0,3.0062592e-05,0.0,0.059989393,2.8745,0,8,8191,0
7,0.8,0.07010813,0.0,3.5062916e-05,0.0,0.069989085,2.8745,0,8,8191,0
8,0.90000004,0.08011166,0.0,4.0062452e-05,0.0,0.07998875,2.8745,0,8,8191,0
9,1.0,0.09010814,0.0,4.506171e-05,0.0,0.08998844,2.8745,0,8,8191,0
10,1.1,0.100090444,0.0,5.0052768e-05,0.0,0.09998813,2.8745,0,8,8191,0
11,1.2,0.11009423,0.0,5.5052624e-05,0.0,0.109987825,2.8745,0,8,8191,0
12,1.3000001,0.12009885,0.0,6.00537e-05,0.0,0.11998752,2.8745,0,8,8191,0
13,1.4,0.13010052,0.0,6.505446e-05,0.0,0.12998721,2.8745,0,8,8191,0
14,1.5,0.14010043,0.0,7.0053364e-05,0.0,0.13998687,2.8745,0,8,8191,0
15,1.6,0.15010855,0.0,7.505541e-05,0.0,0.14998657,2.8745,0,8,8191,0
16,1.7,0.16010696,0.0,8.005597e-05,0.0,0.15998626,2.8746,0,8,8191,0
17,1.8000001,0.17010498,0.0,8.505449e-05,0.0,0.16998595,2.8746,0,8,8191,0
18,1.9,0.18011364,0.0,9.005874e-05,0.0,0.17998564,2.8746,0,8,8191,0
19,2.0,0.19012596,0.0,9.5122145e-05,0.0,0.18998533,2.8746,0,9,8191,0
20,2.1000001,0.20013368,0.0,0.00010012435,0.0,0.19998503,2.8746,0,9,8191,0
21,2.2,0.21013546,0.0,0.000105138664,0.0,0.20998469,2.8746,0,9,8191,0
22,2.3,0.22013415,0.0,0.00011013362,0.0,0.21998438,2.8746,0,9,8191,0
23,2.4,0.23014706,0.0,0.000115134906,0.0,0.22998407,2.8746,0,9,8191,0
24,2.5,0.24014834,0.0,0.00012014382,0.0,0.23998377,2.8746,0,9,8191,0
25,2.6000001,0.25015286,0.0,0.0001251393,0.0,0.24998346,2.8746,0,9,8191,0
26,2.7,0.26015574,0.0,0.00013014211,0.0,0.25998312,2.8746998,0,9,8191,0
27,2.8,0.27015153,0.0,0.00013513396,0.0,0.2699828,2.8746998,0,9,8191,0
28,2.9,0.28023127,0.0,0.00014014513,0.0,0.2799825,2.8746998,0,9,8191,0
29,3.0,0.29023632,0.0,0.00014514233,0.0,0.2899822,2.8746998,0,9,8191,0
30,3.1000001,0.3002298,0.0,0.0001501404,0.0,0.2999819,2.8746998,0,9,8191,0
31,3.2,0.31024408,0.0,0.00015514664,0.0,0.30998158,2.8746998,0,9,8191,0
32,3.3,0.3202508,0.0,0.00016014093,0.0,0.31998128,2.8746998,0,9,8191,0
33,3.4,0.33024594,0.0,0.00016514053,0.0,0.32998097,2.8746998,0,9,8191,0
34,3.5,0.34025058,0.0,0.000170137,0.0,0.33998066,2.8746998,0,9,8191,0
35,3.6000001,0.35026205,0.0,0.00017515023,0.0,0.34998032,2.8746998,0,9,8191,0
36,3.7,0.36029065,0.0,0.00018014717,0.0,0.35998002,2.8746998,0,9,8191,0
37,3.8,0.37026548,0.0,0.00018514544,0.0,0.3699797,2.8746998,0,9,8191,0
38,3.9,0.38026905,0.0,0.00019014947,0.0,0.37997937,2.8746998,0,9,8191,0
39,4.0,0.39027968,0.0,0.00019514763,0.0,0.38997906,2.8746998,0,9,8191,0
40,4.1,0.40028566,0.0,0.00020014611,0.0,0.39997876,2.8746998,0,9,8191,0
41,4.2000003,0.41030732,0.0,0.00020515858,0.0,0.40997845,2.8746998,0,9,8191,0
42,4.3,0.42028767,0.0,0.00021015757,0.0,0.41997814,2.8746998,0,9,8191,0
43,4.4,0.43029594,0.0,0.00021516097,0.0,0.42997783,2.8746998,0,9,8191,0
